"Class1st","Class2nd","Class3rd","ClassCrew","SexFemale","AgeAdult","Survived"
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,1,0,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,1,1,0
0,1,0,0,1,1,0
0,0,1,0,1,1,0
0,0,0,1,1,1,0
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,0,1
0,0,0,1,0,0,1
1,0,0,0,1,0,1
0,1,0,0,1,0,1
0,0,1,0,1,0,1
0,0,0,1,1,0,1
1,0,0,0,0,1,1
0,1,0,0,0,1,1
0,0,1,0,0,1,1
0,0,0,1,0,1,1
1,0,0,0,1,1,1
0,1,0,0,1,1,1
0,0,1,0,1,1,1
0,0,0,1,1,1,1
